size,duration,throughput
1024,0.000847368219284868,1208447.4927136158
2048,0.001556469560224092,1315798.2991361169
4096,0.002920879215537384,1402317.4865333887
8192,0.005779745906466514,1417363.3465157351
16384,0.011579918150462967,1414863.195673362
32768,0.023533028248826283,1392425.983325555
65536,0.04649233149999999,1409608.8082827167
131072,0.0927157766666667,1413696.8346954826
262144,0.18720134696296295,1400331.80451348
524288,0.38616256684615374,1357687.267002436
1048576,0.8461256733333333,1239267.443415478
2097152,2.158185666333333,971719.918593924
4194304,4.8296802705,868443.4093120161
8388608,10.1056115,830094.0522006016
